,tmdb_id,title,poster,kyewords
34,438631,Dune,https://image.tmdb.org/t/p/w500/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,action adventure drama noble family become embroil war control galaxys valuable asset heir become troubled vision dark future mothersonrelationship mindcontrol prescience future empire sandworm doctor combat deadbody massacre denisvilleneuve ericroth timoth echalamet rebeccaferguson zendaya denisvilleneuve jonspaiht
35,438631,Dune,https://image.tmdb.org/t/p/w500/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,action adventure sci fi duke son lead desert warrior galactic emperor father evil nemesis free desert world emperors rule spacetravel desertplanet water dune giantworm spice fatherproudofson facingfear gaggedwoman planetaryromance davidlynch kylemaclachlan virginiamadsen francescaannis davidlynch davidlynch frankherbert
36,331,Jurassic Park III,https://image.tmdb.org/t/p/w500/oQXj4NUfS3r3gHXtDOzcJgj1lLc.jpg,action adventure sci fi decidedly odd couple ulterior motive convince dr grant go isla sorna holiday unexpected landing startle island new inhabitant dinosaur jurassicpark spinosaurus velociraptor tyrannosaurusrex costarica cgianimalinliveactiontitle dinosauradventure jungleadventure islasorna peterbuchman alexanderpayne samneill williamhmacy aleoni joejohnston michaelcrichton
37,11,Star Wars,https://image.tmdb.org/t/p/w500/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,action adventure fantasy luke skywalker join force jedi knight cocky pilot wookiee two droid save galaxy empire world destroy battle station also attempt rescue princess leia mysterious darth vader rebellion galacticwar princess lightsaber spaceopera droid deathstar jedi goodversusevil swordduel markhamill harrisonford carriefisher georgelucas georgelucas georgelucas georgelucas
38,725201,The Gray Man,https://image.tmdb.org/t/p/w500/5Eom3JsXgQlCj6QIsGCwXkX7wyH.jpg,action thriller cia skilled operative whose true identity know none accidentally uncover dark agency secret psychopathic former colleague put bounty head set global manhunt international assassins maleobjectification daughter gun handgun europe mysterious life agency spy mission markgreaney joerusso christophermarkus anadearmas chrisevan anthonyrusso joerusso
39,299534,Avengers: Endgame,https://image.tmdb.org/t/p/w500/or06FN3Dka5tukK1e9sl16pB3iy.jpg,action adventure drama devastating event avenger infinity war universe ruin help remain ally avenger assemble order reverse thano action restore balance universe timetravel superhero supervillain cosmic marvelcinematicuniverse sequel superheroteam actionhero ensemblecast avenger christophermarkus stephenmcfeely stanlee robertdowneyjr chrisevan anthonyrusso joerusso
40,748618,The Lady of Heaven,https://image.tmdb.org/t/p/w500/j7pZEzOKDGalpH5fTWZnVO9yKLV.jpg,action drama history two story separate year lose mother midst war tear country iraqi child learn importance power patience discover historical story lady fatima suffer islam religion iraq shia isis battle muslim arabia desert sword deniseblack gabrielcartade rayfearon eliking sheikhal habib eliking sheikhal habib
41,22,Pirates of the Caribbean: The Curse of the Black Pearl,https://image.tmdb.org/t/p/w500/z8onk7LV9Mmw6zKz4hT6pzzvmvl.jpg,action adventure fantasy blacksmith turner teams eccentric pirate captain jack sparrow save love governor daughter jack former pirate ally undead pirate curse undead captainjacksparrowcharacter joshameegibbscharacter captainhectorbarbossacharacter beardedman basedonthemeparkattraction basedonthemeparkride sceneafterendcredit terryrossio stuartbeattie johnnydepp geoffreyrush orlandobloom goreverbinski tedelliott
42,524434,Eternals,https://image.tmdb.org/t/p/w500/lFByFSLV5WDJEv3KabbdAF959F2.jpg,action adventure fantasy saga eternal race immortal being live earth shape history civilization suicide superhero gay frate bannedinthemiddleeast marvelcinematicuniverse sexscene basedoncomic titledirectedbyfemale eternal patrickburleigh ryanfirpo gemmachan richardmadden angelinajolie chlo zhao chlo zhao
43,550988,Free Guy,https://image.tmdb.org/t/p/w500/xmbU4JTUm8rsdtn7Y3Fcm30GpeT.jpg,action adventure comedy bank teller discover he s actually npc inside brutal open world video game videogameworld videogamecharacter artificialintelligence bankrobbery banksecurityguard videogameassubject bankteller virtualreality violence videogameviolence zakpenn ryanreynold jodiecomer taikawaititi shawnlevy shawnlevy mattlieberman
44,624860,The Matrix Resurrections,https://image.tmdb.org/t/p/w500/8c4a8kE7PizaGQQnditMmI1xbRp.jpg,action sci fi return world two reality one everyday life lie behind find reality construct truly know mr anderson choose follow white rabbit fourthpart matrix waragainstmachine selfreferential simulation cyberpunk sequel partofserie virtualreality dystopia davidmitchell aleksandarhemon keanureeve carrie annemoss yahyaabdul mateenii lanawachowski lanawachowski
45,954,Mission: Impossible,https://image.tmdb.org/t/p/w500/l5uxY5m5OInWpcExIpKG6AR3rgL.jpg,action adventure thriller american agent false suspicion disloyalty must discover expose real spy without help organization train betrayal murder basedontvshow famousscore fugitive disguise helicopter ethanhuntcharacter basedontvserie davidkoepp stevenzaillian tomcruise jonvoight emmanuelleb art briandepalma brucegeller
46,818397,Memory,https://image.tmdb.org/t/p/w500/4Q1n3TwieoULnuaztu9aFjqHDTI.jpg,action thriller assassin hire find he s become target refuse complete job dangerous criminal organization remake belgian film memory killer remake americanremake americanremakeofeuropeanfilm americanremakeofbelgianfilm remakeofeuropeanfilm remakeofbelgianfilm foreignlanguageadaptation fight deathofprotagonist throatslashe jefgeeraerts carljoos liamneeson guypearce tajatwal martincampbell darioscardapane
47,818397,Memory,https://image.tmdb.org/t/p/w500/4Q1n3TwieoULnuaztu9aFjqHDTI.jpg,drama plot keep wraps petersarsgaard elsiefisher michelfranco jessicachastain petersarsgaard michelfranco jessicachastain
48,1893,Star Wars: Episode I - The Phantom Menace,https://image.tmdb.org/t/p/w500/6wkfovpn7Eq8dYNKaG5PY3q2oq6.jpg,action adventure fantasy two jedi escape hostile blockade find ally come across young boy may bring balance force long dormant sith resurface claim original glory rdcharacter cpocharacter jedi torsocutinhalf slavery divineconception starwar originstory prequel nineyearold ewanmcgregor liamneeson natalieportman georgelucas georgelucas georgelucas georgelucas
